herkunftsort;anzahl;anzahl in Prozent;weiblich;weiblich in Prozent;maennlich;maennlich in Prozent;entfernung in km
Köln;8139;8,8;3406;8,7;4733;8,8;34,2
Essen;4943;5,3;2205;5,6;2738;5,1;26,4
Duisburg;4414;4,8;1965;5;2449;4,6;23,3
Krefeld;3164;3,4;1255;3,2;1909;3,6;20,2
Wuppertal;2704;2,9;1191;3;1513;2,8;25,1
Mönchengladbach;2449;2,6;1177;3;1272;2,4;28,9
Mülheim an der Ruhr;1867;2;708;1,8;1159;2,2;20,4
Leverkusen;1519;1,6;623;1,6;896;1,7;24,9
Solingen;1502;1,6;635;1,6;867;1,6;19,6
Bonn;1077;1,2;434;1,1;643;1,2;62,6
Dortmund;1053;1,1;388;1;665;1,2;55,8
Oberhausen;805;0,9;328;0,8;477;0,9;31
Ratingen;6202;6,7;2805;7,2;3397;6,3;9,9
Hilden;3729;4;1580;4;2149;4;11,5
Langenfeld (Rheinland);3436;3,7;1459;3,7;1977;3,7;17,2
Erkrath;2435;2,6;1102;2,8;1333;2,5;8,4
Monheim am Rhein;1543;1,7;733;1,9;810;1,5;16,5
Neuss;7935;8,6;3346;8,6;4589;8,6;10,3
Meerbusch;1888;2;925;2,4;963;1,8;11,1
Dormagen;739;0,8;250;0,6;489;0,9;14,6
Kaarst;714;0,8;312;0,8;402;0,7;14
Grevenbroich;592;0,6;247;0,6;345;0,6;21,7
Willich;724;0,8;264;0,7;460;0,9;20,6
Viersen;454;0,5;207;0,5;247;0,5;31,5
Kempen;157;0,2;82;0,2;75;0,1;30,5
Tönisvorst;143;0,2;77;0,2;66;0,1;26,6
Nettetal;92;0,1;46;0,1;46;0,1;40,1
alle sonstigen Orte;24855;26,8;9924;25,4;14931;27,8;x
