Zielort;Anzahl;Anzahl Prozent;weiblich;weiblich Prozent;maennlich ;maennlich Prozent;Entfernung in km
Köln;9 466    ;9;4 029    ;9,1;5 437    ;9;34,2
Essen;5 616    ;5,4;2 517    ;5,7;3 099    ;5,1;26,4
Duisburg;4 665    ;4,5;2 071    ;4,7;2 594    ;4,3;23,3
Krefeld;3 622    ;3,5;1 480    ;3,3;2 142    ;3,6;20,2
Wuppertal;3 238    ;3,1;1 429    ;3,2;1 809    ;3;25,1
Mönchengladbach;2 830    ;2,7;1 366    ;3,1;1 464    ;2,4;28,9
Leverkusen;1 859    ;1,8;763;1,7;1 096    ;1,8;24,9
Mülheim an der Ruhr;1 832    ;1,8;746;1,7;1 086    ;1,8;20,4
Solingen;1 724    ;1,6;730;1,6;994;1,6;19,6
Bonn;1 210    ;1,2;511;1,2;699;1,2;62,6
Dortmund;998;1;360;0,8;638;1,1;55,8
Oberhausen;936;0,9;424;1;512;0,8;31
Ratingen;6 824    ;6,5;2 980    ;6,7;3 844    ;6,4;9,9
Hilden;4 058    ;3,9;1 731    ;3,9;2 327    ;3,9;11,5
Langenfeld (Rheinland);3 573    ;3,4;1 479    ;3,3;2 094    ;3,5;17,2
Erkrath;2 751    ;2,6;1 259    ;2,8;1 492    ;2,5;8,4
Monheim am Rhein;1 861    ;1,8;897;2;964;1,6;16,5
Neuss;8 684    ;8,3;3 716    ;8,4;4 968    ;8,2;10,3
Meerbusch;2 030    ;1,9;1 030    ;2,3;1 000    ;1,7;11,1
Dormagen;780;0,7;252;0,6;528;0,9;14,6
Kaarst;763;0,7;353;0,8;410;0,7;14
Grevenbroich;709;0,7;296;0,7;413;0,7;21,7
Willich;755;0,7;283;0,6;472;0,8;20,6
Viersen;470;0,4;238;0,5;232;0,4;31,5
Kempen;203;0,2;89;0,2;114;0,2;30,5
Tönisvorst;149;0,1;80;0,2;69;0,1;26,6
Nettetal;104;0,1;51;0,1;53;0,1;40,1
alle sonstigen Orte;29 167    ;27,9;11 552    ;26,1;17 615    ;29,2;x
