Zielort;Anzahl;Anzahl Prozent;weiblich;weiblich Prozent;maennlich ;maennlich Prozent;Entfernung in km
Köln;9717;9,005978034;3949;8,777506112;5768;9,169382402;34,2
Essen;5940;5,505352426;2608;5,796843743;3332;5,296876242;26,4
Duisburg;4742;4,395013671;2109;4,68770838;2633;4,185676814;23,3
Krefeld;3644;3,377357616;1460;3,245165592;2184;3,471902075;20,2
Wuppertal;3200;2,965846425;1374;3,054012003;1826;2,902789921;25,1
Mönchengladbach;2949;2,733212846;1343;2,985107802;1606;2,553056196;28,8
Leverkusen;1972;1,827702859;794;1,76483663;1178;1,87266513;24,9
Mülheim an der Ruhr;1779;1,648825247;741;1,647032674;1038;1,650107305;19,6
Solingen;1647;1,526484082;690;1,53367415;957;1,521341706;20,4
Bonn;1180;1,093655869;379;0,842409424;801;1,2733487;55,8
Dortmund;1174;1,088094907;482;1,071349189;692;1,100071536;62,6
Oberhausen;957;0,886973446;448;0,995776839;509;0,809156665;31
Ratingen;7185;6,659252051;3063;6,808179595;4122;6,552738256;9,9
Hilden;4250;3,939014783;1759;3,909757724;2491;3,959939591;11,5
Langenfeld (Rheinland);3506;3,249455489;1443;3,207379418;2063;3,279548526;17,2
Erkrath;2701;2,503359748;1270;2,822849522;1431;2,274858914;8,4
Monheim am Rhein;1918;1,777654201;896;1,991553679;1022;1,624672125;16,5
Neuss;9067;8,403540479;3840;8,535230051;5227;8,309355377;10,3
Meerbusch;2029;1,880531999;1042;2,316070238;987;1,569032668;11,1
Dormagen;846;0,784095649;265;0,589019782;581;0,923614975;14,6
Kaarst;813;0,753510357;375;0,83351856;438;0,696288053;14
Grevenbroich;754;0,698827564;325;0,722382752;429;0,681980765;21,6
Willich;840;0,778534687;330;0,733496333;510;0,810746364;20,6
Viersen;549;0,508828027;280;0,622360525;269;0,427628964;31,5
Kempen;200;0,185365402;98;0,217826184;102;0,162149273;30,5
Tönisvorst;156;0,144585013;87;0,193376306;69;0,109689214;26,6
Nettetal;104;0,096390009;49;0,108913092;55;0,087433431;40,1
alle sonstigen Orte;30129;27,92437092;11880;26,40586797;18249;29,01041253;x
