Zielort;Anzahl;Anzahl Prozent;Entfernung in km
Köln;9155;8,638259327;34,2
Essen;6074;5,731161895;26,4
Duisburg;4863;4,588515031;23,3
Krefeld;3623;3,418505029;20,2
Wuppertal;3151;2,973146383;25,1
Mönchengladbach;2797;2,639127399;28,8
Leverkusen;2601;2,454190334;179,5
Mülheim an der Ruhr;1975;1,863523995;24,9
Solingen;1727;1,629521994;20,4
Bonn;1713;1,616312204;19,6
Dortmund;1195;1,127549961;62,6
Oberhausen;1033;0,974693816;55,8
Ratingen;7305;6,892679889;9,9
Hilden;4157;3,922364175;11,5
Langenfeld (Rheinland);3518;3,319431602;17,2
Erkrath;2695;2,542884641;8,4
Monheim am Rhein;1965;1,85408843;16,5
Neuss;8778;8,282538544;10,3
Meerbusch;1975;1,863523995;11,1
Dormagen;912;0,860523485;14,6
Kaarst;797;0,752014493;14
Grevenbroich;738;0,696344662;21,6
Willich;809;0,76333717;20,6
Viersen;535;0,504802702;31,5
Kempen;223;0,210413089;30,5
Tönisvorst;158;0,14908192;26,6
Nettetal;103;0,097186315;40,1
alle sonstigen Orte;31407;29,63427752;x
