Herkunftsort;Anzahl;Anzahl Prozent;weiblich;weiblich Prozent;maennlich ;maennlich Prozent;Entfernung in km
Duisburg;19396;6,4;9182;6,7;10214;6,2;23,3
Köln;14182;4,7;6449;4,7;7733;4,7;34,2
Essen;13139;4,3;5481;4;7658;4,6;26,4
Krefeld;10036;3,3;4653;3,4;5383;3,2;20,2
Mönchengladbach;9886;3,3;4513;3,3;5373;3,2;28,9
Wuppertal;8767;2,9;4158;3,1;4609;2,8;25,1
Mülheim an der Ruhr;5453;1,8;2295;1,7;3158;1,9;20,4
Solingen;5421;1,8;2555;1,9;2866;1,7;19,6
Oberhausen;4937;1,6;2047;1,5;2890;1,7;31
Bochum;3555;1,2;1339;1;2216;1,3;38,9
Dortmund;3455;1,1;1338;1;2117;1,3;55,8
Leverkusen;3159;1;1479;1,1;1680;1;24,9
Ratingen;13014;4,3;6555;4,8;6459;3,9;9,9
Hilden;7605;2,5;4020;3;3585;2,2;11,5
Erkrath;6965;2,3;3572;2,6;3393;2;8,4
Langenfeld (Rheinland);5224;1,7;2559;1,9;2665;1,6;17,2
Monheim am Rhein;4781;1,6;2327;1,7;2454;1,5;16,5
Neuss;18424;6,1;8972;6,6;9452;5,7;10,3
Meerbusch;9110;3;4808;3,5;4302;2,6;11,1
Kaarst;5833;1,9;2927;2,2;2906;1,8;14
Grevenbroich;4335;1,4;2050;1,5;2285;1,4;21,7
Dormagen;3789;1,3;1949;1,4;1840;1,1;14,6
Willich;4297;1,4;2044;1,5;2253;1,4;20,6
Viersen;2440;0,8;1038;0,8;1402;0,8;31,5
Tönisvorst;1194;0,4;500;0,4;694;0,4;26,6
Kempen;1135;0,4;459;0,3;676;0,4;30,5
Nettetal;866;0,3;324;0,2;542;0,3;40,1
allen sonstigen Orten;92422;30,6;37223;27,4;55199;33,2;x
