,zielort,anzahl,anzahl_prozent,weiblich,weiblich_prozent,maennlich,maennlich_prozent,entfernung_in_km,year,category,breitengrad,laengengrad,herkunftsort,herkunftsort_laengengrad,herkunftsort_breitengrad
0,Köln,8139,"8,8",3406,"8,7",4733,"8,8","34,2",2014,outgoing commuters,"51,4344","6,7623",Düsseldorf,"6,7735","51,2277"
1,Essen,4943,"5,3",2205,"5,6",2738,"5,1","26,4",2014,outgoing commuters,"50,9375","6,9603",Düsseldorf,"6,7735","51,2277"
2,Duisburg,4414,"4,8",1965,5,2449,"4,6","23,3",2014,outgoing commuters,"51,4556","7,0116",Düsseldorf,"6,7735","51,2277"
3,Krefeld,3164,"3,4",1255,"3,2",1909,"3,6","20,2",2014,outgoing commuters,"51,3369","6,5535",Düsseldorf,"6,7735","51,2277"
4,Wuppertal,2704,"2,9",1191,3,1513,"2,8","25,1",2014,outgoing commuters,"51,1805","6,4425",Düsseldorf,"6,7735","51,2277"
5,Mönchengladbach,2449,"2,6",1177,3,1272,"2,4","28,9",2014,outgoing commuters,"51,2562","7,1507",Düsseldorf,"6,7735","51,2277"
6,Mülheim an der Ruhr,1867,2,708,"1,8",1159,"2,2","20,4",2014,outgoing commuters,"51,4309","6,8785",Düsseldorf,"6,7735","51,2277"
7,Leverkusen,1519,"1,6",623,"1,6",896,"1,7","24,9",2014,outgoing commuters,"51,1734","7,0845",Düsseldorf,"6,7735","51,2277"
8,Solingen,1502,"1,6",635,"1,6",867,"1,6","19,6",2014,outgoing commuters,"51,496","6,8517",Düsseldorf,"6,7735","51,2277"
9,Bonn,1077,"1,2",434,"1,1",643,"1,2","62,6",2014,outgoing commuters,"51,4812","7,2195",Düsseldorf,"6,7735","51,2277"
10,Dortmund,1053,"1,1",388,1,665,"1,2","55,8",2014,outgoing commuters,"51,5136","7,4653",Düsseldorf,"6,7735","51,2277"
11,Oberhausen,805,"0,9",328,"0,8",477,"0,9",31,2014,outgoing commuters,"51,0451","6,9944",Düsseldorf,"6,7735","51,2277"
12,Ratingen,6202,"6,7",2805,"7,2",3397,"6,3","9,9",2014,outgoing commuters,"51,2969","6,8528",Düsseldorf,"6,7735","51,2277"
13,Hilden,3729,4,1580,4,2149,4,"11,5",2014,outgoing commuters,"51,1657","6,9362",Düsseldorf,"6,7735","51,2277"
14,Langenfeld (Rheinland),3436,"3,7",1459,"3,7",1977,"3,7","17,2",2014,outgoing commuters,"51,2249","6,9073",Düsseldorf,"6,7735","51,2277"
15,Erkrath,2435,"2,6",1102,"2,8",1333,"2,5","8,4",2014,outgoing commuters,"51,1139","6,9805",Düsseldorf,"6,7735","51,2277"
16,Monheim am Rhein,1543,"1,7",733,"1,9",810,"1,5","16,5",2014,outgoing commuters,"51,0969","6,9474",Düsseldorf,"6,7735","51,2277"
17,Neuss,7935,"8,6",3346,"8,6",4589,"8,6","10,3",2014,outgoing commuters,"51,2042","6,6879",Düsseldorf,"6,7735","51,2277"
18,Meerbusch,1888,2,925,"2,4",963,"1,8","11,1",2014,outgoing commuters,"51,2622","6,6751",Düsseldorf,"6,7735","51,2277"
19,Dormagen,739,"0,8",250,"0,6",489,"0,9","14,6",2014,outgoing commuters,"51,2209","6,6194",Düsseldorf,"6,7735","51,2277"
20,Kaarst,714,"0,8",312,"0,8",402,"0,7",14,2014,outgoing commuters,"51,0973","6,6864",Düsseldorf,"6,7735","51,2277"
21,Grevenbroich,592,"0,6",247,"0,6",345,"0,6","21,7",2014,outgoing commuters,"51,0956","6,8397",Düsseldorf,"6,7735","51,2277"
22,Willich,724,"0,8",264,"0,7",460,"0,9","20,6",2014,outgoing commuters,"51,2643","6,5491",Düsseldorf,"6,7735","51,2277"
23,Viersen,454,"0,5",207,"0,5",247,"0,5","31,5",2014,outgoing commuters,"51,255","6,3934",Düsseldorf,"6,7735","51,2277"
24,Kempen,157,"0,2",82,"0,2",75,"0,1","30,5",2014,outgoing commuters,"51,2889","6,3986",Düsseldorf,"6,7735","51,2277"
25,Tönisvorst,143,"0,2",77,"0,2",66,"0,1","26,6",2014,outgoing commuters,"51,366","6,4153",Düsseldorf,"6,7735","51,2277"
26,Nettetal,92,"0,1",46,"0,1",46,"0,1","40,1",2014,outgoing commuters,"51,3167","6,2833",Düsseldorf,"6,7735","51,2277"
27,alle sonstigen Orte,24855,"26,8",9924,"25,4",14931,"27,8",x,2014,outgoing commuters,"0,0","0,0",Düsseldorf,"6,7735","51,2277"
